"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Cards\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 3, 103
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Footer\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Header\Header.jsx", "JavaScript JSX", 0, 0, 203, 0, 0, 0, 0, 3, 10, 216
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Header\Header.module.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 8, 54
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Header\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Search\Search.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Search\Search.module.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Search\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 4, 80
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Sidebar\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Slider\Slider.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Slider\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 117, 0, 0, 0, 0, 2, 22, 141
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\CategoryContext.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 0, 0, 10, 13, 84
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\CommonContext.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\DishesContext.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 0, 14, 99
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\EmployeesContext.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 0, 11, 67
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\UsersContext.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 11, 65
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutAdmin\DefaultLayoutAdmin.jsx", "JavaScript JSX", 0, 0, 169, 0, 0, 0, 0, 6, 10, 185
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutAdmin\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutUser\DefaultLayoutUser.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutUser\DefaultLayoutUser.module.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutUser\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\GlobalStyles\GlobalStyles.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\GlobalStyles\GlobalStyles.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\AdminDashboard\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 0, 5, 5, 50
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\AdminDashboard\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\Auth\AdminLogin\AdminLogin.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 0, 6, 126
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\Auth\AdminLogin\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CategoryManage\CategoryManage.jsx", "JavaScript JSX", 0, 0, 154, 0, 0, 0, 0, 0, 17, 171
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CategoryManage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CustomerManage\CustomerManage.jsx", "JavaScript JSX", 0, 0, 160, 0, 0, 0, 0, 0, 16, 176
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CustomerManage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\DishManage\DishManage.jsx", "JavaScript JSX", 0, 0, 166, 0, 0, 0, 0, 0, 17, 183
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\DishManage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\EmployeeManage\EmployeeManage.jsx", "JavaScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 17, 190
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\EmployeeManage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Page404\Page404.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 3, 8, 66
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Page404\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\About\About.jsx", "JavaScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 3, 135
