"filename", "language", "HTML", "JavaScript JSX", "JSON", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\Auth\AdminLogin\AdminLogin.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 0, 0, 6, 126
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\Auth\AdminLogin\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CategoryManage\CategoryManage.jsx", "JavaScript JSX", 0, 154, 0, 0, 0, 0, 0, 17, 171
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CategoryManage\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CustomerManage\CustomerManage.jsx", "JavaScript JSX", 0, 160, 0, 0, 0, 0, 0, 16, 176
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CustomerManage\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\DishManage\DishManage.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 0, 17, 183
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\DishManage\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\EmployeeManage\EmployeeManage.jsx", "JavaScript JSX", 0, 173, 0, 0, 0, 0, 0, 17, 190
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\EmployeeManage\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, -6, 0, 0, 0, 0, 0, -2, -8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Dashboard\index.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Login\Login.jsx", "JavaScript JSX", 0, -167, 0, 0, 0, 0, 0, -6, -173
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Login\index.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Page404\Page404.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 3, 8, 66
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Page404\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\About\About.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 3, 135
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\About\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Account\Account.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Account\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Login\Login.jsx", "JavaScript JSX", 0, 152, 0, 0, 0, 0, 0, 7, 159
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Login\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Register\Register.jsx", "JavaScript JSX", 0, 184, 0, 0, 0, 0, 0, 6, 190
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Register\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Cart\Cart.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Cart\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Contact\Contact.jsx", "JavaScript JSX", 0, 208, 0, 0, 0, 0, 0, 3, 211
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Contact\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dashboard\Dashboard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dashboard\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\DishDetail\DishDetail.jsx", "JavaScript JSX", 0, 208, 0, 0, 0, 0, 0, 12, 220
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\DishDetail\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dishes\DishItem.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 0, 0, 5, 71
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dishes\Dishes.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 5, 74
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dishes\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Profile\Profile.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Profile\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Service\Service.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Service\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\reducer.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\CategoryReducer\action.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\CategoryReducer\constants.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\CategoryReducer\reducer.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\DishesReducer\action.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 8, 39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\DishesReducer\constants.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\DishesReducer\reducer.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 5, 53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\EmployeesReducer\action.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\EmployeesReducer\constants.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\EmployeesReducer\reducer.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\action.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\constants.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\reducer.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\authApi.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\axiosConfig.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 23, 10, 66
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\categoryApi.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\dishApi.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\employeeApi.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\userApi.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Theme\index.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\main.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\routers\routes.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 6, 9, 56
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\AdminAuthController.mjs", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\AuthController.mjs", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\DishesController.mjs", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 4, 55
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\UsersController.mjs", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 7, 85
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Dishes.mjs", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Roles.mjs", "JavaScript", 0, 0, 0, 0, -4, 0, 0, 0, -4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\dishesRouter.mjs", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\index.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\usersRouter.mjs", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 5, 14
"Total", "-", 1, 3822, 155, 85, 185, 40, 85, 387, 4760
