"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "PHP", "JavaScript JSX", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\restaurants_php\server\config\vnpay.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\restaurants_php\server\database\factories\UserFactory.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 0, 11, 5, 39
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 4, 33
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2020_06_14_000001_create_media_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 4, 32
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_111955_create_roles_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_112153_create_employees_table.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 5, 40
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_112248_create_categories_table.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 5, 33
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_112338_create_products_table.php", "PHP", 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 4, 41
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_112713_create_image_product_table.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_114355_create_users_table.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 5, 40
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_29_125726_create_payments_table.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_31_073649_create_carts_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_10_31_074502_create_cart_detail_table.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_11_01_090101_remove_image_url_from_products_table.php", "PHP", 0, 0, 0, 0, 18, 0, 0, 0, 0, 7, 4, 29
