"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\EmployeesContext.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 11, 69
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\ProductsContext.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 12, 109
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\UsersContext.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 13, 79
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\DefaultLayout\DefaultLayoutAdmin\DefaultLayoutAdmin.jsx", "JavaScript JSX", 0, 0, 0, 167, 0, 0, 0, 6, 10, 183
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\DefaultLayout\DefaultLayoutAdmin\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\GlobalStyles\GlobalStyles.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\GlobalStyles\GlobalStyles.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\AdminDashboard\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 5, 5, 50
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\AdminDashboard\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\Auth\AdminLogin\AdminLogin.jsx", "JavaScript JSX", 0, 0, 0, 118, 0, 0, 0, 0, 6, 124
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\Auth\AdminLogin\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CategoryManage\CategoryManage.jsx", "JavaScript JSX", 0, 0, 0, 156, 0, 0, 0, 0, 17, 173
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CategoryManage\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\Charts\Charts.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\Charts\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\CustomerDetail.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 4, 111
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\CustomerManage.jsx", "JavaScript JSX", 0, 0, 0, 163, 0, 0, 0, 0, 17, 180
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\EmployeeManage\EmployeeManage.jsx", "JavaScript JSX", 0, 0, 0, 173, 0, 0, 0, 0, 17, 190
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\EmployeeManage\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\ProductManage.jsx", "JavaScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 17, 184
