"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormImage.jsx", "JavaScript JSX", 0, 55, 0, 0, 79, 8, 142
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormPrice.jsx", "JavaScript JSX", 0, 39, 0, 0, 2, 5, 46
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormProperty.jsx", "JavaScript JSX", 0, 129, 0, 0, 3, 9, 141
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\index.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 3, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\faq\Accordion.jsx", "JavaScript JSX", 0, 40, 0, 0, 3, 4, 47
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\faq\AccordionItems.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 2, 35
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\faq\Banner.jsx", "JavaScript JSX", 0, 115, 0, 0, 2, 5, 122
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\faq\ContactForm.jsx", "JavaScript JSX", 0, 60, 0, 0, 2, 6, 68
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\faq\Service.jsx", "JavaScript JSX", 0, 97, 0, 0, 2, 6, 105
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\faq\index.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 3, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\home\Main\Main.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\home\header\Header.jsx", "JavaScript JSX", 0, -91, 0, 0, -3, -8, -102
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\home\header\index.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\home\header\nav\Nav.jsx", "JavaScript JSX", 0, -166, 0, 0, -2, -6, -174
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\home\header\nav\index.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\CartsController.mjs", "JavaScript", 34, 0, 0, 0, 0, 6, 40
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\EmployeesController.mjs", "JavaScript", 7, 0, 0, 0, 0, 4, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\ProductsController.mjs", "JavaScript", -8, 0, 0, 0, 0, -3, -11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\models\DiscountCode.mjs", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\models\Payments.mjs", "JavaScript", 25, 0, 0, 0, 0, 3, 28
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\models\Products.mjs", "JavaScript", 7, 0, 0, 0, 0, 0, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\routes\cartRouter.mjs", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 75, 2527, 192, 242, -13, 186, 3209
